speech,starttime,statestart,overtime,stateover,final,finalover
And so we do expect that we’ll be learning a lot more on all of these issues in the near term. And that’s our focus.,1553078341.0,7.0,1553078401.0,7.0,0.0,0.0
I’m sure that things will change before the next meeting.,1553078341.0,7.0,1553078401.0,7.0,0.0,0.0
I think we’ll learn a great deal more about them.,1553078348.0,7.0,1553078408.0,7.0,0.0,0.0
"I think the law is clear that I have a four-year term, and I fully intend to serve it.",1553078525.0,2.0,1553078585.0,1.0,-1.0,2.0
But I think we believe that the right thing here is to watch carefully in the near term and see how these risks unfold and see whether they continue to weigh on the outlook.,1553078592.0,1.0,1553078652.0,2.0,1.0,3.0
"We saw that market-based measures of inflation expectations, breakevens, dropped.",1553078827.0,0.0,1553078887.0,1.0,1.0,3.0
We noted that also in the statement.,1553078828.0,0.0,1553078888.0,1.0,1.0,3.0
"So I think, you know, we certainly don’t want to be seen as weak on inflation, and I don't believe we are.",1553078886.0,1.0,1553078946.0,1.0,0.0,0.0
"So I just would say that, if you pay too close attention to the dots, then you may lose sight of the larger picture.",1553078941.0,1.0,1553079001.0,4.0,3.0,4.0
"So, why not now? And, I would say, there was not much support for cutting rates now at this meeting.",1553079182.0,3.0,1553079242.0,2.0,-1.0,2.0
"There was, as you see, a number of people wrote down rate cuts.",1553079186.0,4.0,1553079246.0,1.0,-3.0,1.0
"So, all of that, underlying fundamentals for the consumer spending part of the economy, which is 70 percent of the economy, is quite solid.",1553079308.0,1.0,1553079368.0,1.0,0.0,0.0
"Job creation, if you take a three-month average, is still well above, you know, the entry—level of entry into the workforce.",1553079314.0,1.0,1553079374.0,2.0,1.0,3.0
"The reason why we say “sustain the expansion” is, you’re seeing now, for the first time, you know, communities that are being brought into the benefits of this expansion that hadn’t been earlier.",1553079494.0,2.0,1553079554.0,3.0,1.0,3.0
And that’s just how we look at it.,1553079551.0,3.0,1553079611.0,5.0,2.0,4.0
"So I would just say that we are—at the Fed, we’re deeply committed to carrying out our mission, and also that our independence from direct political control we see as an important institutional feature that has served both the economy and the country well.",1553079611.0,5.0,1553079671.0,4.0,-1.0,2.0
"And just now, you have, you know, companies who want to hire and are bringing people into the—providing opportunities for people to come into the labor force to an extent not seen in quite a long time.",1553079906.0,7.0,1553079966.0,4.0,-3.0,1.0
"And that is, I think, you know, for someone who does this work, that was very focusing and motivating, too.",1553079910.0,7.0,1553079970.0,4.0,-3.0,1.0
"And, you know, this is something that we take very seriously and that the FSOC, the Financial Stability Oversight Council, is looking at. And, you know, we call it out as a macroeconomic risk, but it’s not really a financial stability risk, in the sense that it could undermine the ability of the financial system to do its job of intermediating credit.",1553080208.0,5.0,1553080268.0,5.0,0.0,0.0
And we’re very carefully assessing that. ,1553080262.0,6.0,1553080322.0,5.0,-1.0,2.0
And we continue to take all these risks seriously.,1553080263.0,6.0,1553080323.0,5.0,-1.0,2.0
"You know, I gave a whole speech about this a few weeks ago, so.",1553080263.0,6.0,1553080323.0,5.0,-1.0,2.0
