speech,starttime,statestart,overtime,stateover,final,finalover
"So, yes, we did discuss tax policy, and let me say that most of my colleagues factored in the prospect of fiscal stimulus along the lines of what’s being contemplated by Congress into their projections.",1513161682.0,1.0,1513161742.0,1.0,0.0,0.0
" Now, I should emphasize that some have been incorporating those expectations into their projections throughout the year, so changes to the projections that you see since September should not be viewed as an impact—an estimate of the impact of the tax package.",1513161706.0,1.0,1513161766.0,1.0,0.0,0.0
" And, in particular, broader expectations of changes to fiscal policy have been reflected in financial market conditions, I think, over the past year.",1513161708.0,1.0,1513161768.0,1.0,0.0,0.0
" I think my colleagues and I are in line with the general expectation among most economists that the type of tax changes that are likely to be enacted would tend to provide some modest lift to GDP growth in the coming years, and you see that—in part, that’s one of the reasons, I think, for the uptick you see in estimated growth and decline in the unemployment rate.",1513161794.0,1.0,1513161854.0,1.0,0.0,0.0
"The views of participants, I believe, have been informed by a wide range of analysis, including that of the Joint Committee on Taxation and other outside evaluators, and my sense is that their estimates are essentially in the same ballpark, although they recognize, as I emphasized, that there is considerable uncertainty about the impacts, and that will have to be monitored over time.",1513161814.0,1.0,1513161874.0,1.0,0.0,0.0
" More specifically, they tend to see the package as boosting both consumer spending and capital spending, to some extent.",1513161824.0,1.0,1513161884.0,1.0,0.0,0.0
" I guess I would also urge you to remember that when you look at the projections, that there are many factors that affect those projections, and changes in tax policy— that’s only one of a number of factors, including incoming data that has, to some extent, altered the outlook for growth and inflation.",1513161861.0,1.0,1513161921.0,1.0,0.0,0.0
 All of that factors into the projections you see.,1513161874.0,1.0,1513161934.0,1.0,0.0,0.0
"But I think, bottom line, when you look at assessments of the funds rate path, participants continue to see gradual increases in the target range for the federal funds rate as being appropriate to sustain a strong labor market and bring inflation back to 2 percent.",1513161897.0,1.0,1513161957.0,1.0,0.0,0.0
" And, look— importantly, there is a lot of uncertainty about what the likely effects will be, and my colleagues and I will be committed, as always, to evaluating incoming data and altering the outlook as appropriate.",1513161912.0,1.0,1513161972.0,1.0,0.0,0.0
" That leaves me—that’s one factor, along with the fact that inflation remains low—with feeling that even though we have a 4.1 percent unemployment rate, that the labor market is not overheated at this point.",1513161959.0,1.0,1513162019.0,1.0,0.0,0.0
" Remember, the modest pace of wage gains also probably reflects slow productivity growth.",1513161959.0,1.0,1513162019.0,1.0,0.0,0.0
