speech,starttime,statestart,overtime,stateover,final,finalover
I’ll try to respond to those questions.,1474454524.0,1.0,1474454584.0,0.0,-1.0,2.0
 Let me try to set out again how the Committee sees the economy and what we’re looking for.,1474454532.0,1.0,1474454592.0,0.0,-1.0,2.0
 We’re generally pleased with how the U.S. economy is doing.,1474454536.0,0.0,1474454596.0,0.0,0.0,0.0
 Growth was weak in the first half of the year; we’re seeing definite evidence that the economy is now expanding more strongly.,1474454545.0,0.0,1474454605.0,0.0,0.0,0.0
" As I mentioned, payroll gains in recent months have been solid, averaging around 180,000 per month, which is less than the pace in 2015, but, as I mentioned, it’s well above what’s needed to provide jobs for new entrants into the labor force over time.",1474454564.0,0.0,1474454624.0,2.0,2.0,4.0
 The unemployment rate is pretty close to most FOMC participants’ estimates of its longer-run equilibrium value.,1474454573.0,0.0,1474454633.0,2.0,2.0,4.0
" But, as I mentioned, that rate and other measures of labor utilization are little changed since the beginning of the year.",1474454582.0,0.0,1474454642.0,3.0,3.0,4.0
" I don’t see that as bad news, because it may reflect that the strong labor market is attracting people from outside the labor force back into employment.",1474454594.0,0.0,1474454654.0,2.0,2.0,4.0
 The labor force participation rates increased on balance since late last year.,1474454599.0,0.0,1474454659.0,2.0,2.0,4.0
" It has—it is on a declining demographic trend, and the fact that it’s increased shows a substantial number of people are being attracted into the labor market.",1474454613.0,1.0,1474454673.0,3.0,2.0,4.0
The employment-to-population ratio has also continued to increase.,1474454618.0,1.0,1474454678.0,2.0,1.0,3.0
" Now, we were not really certain that this is something that would happen as the labor market strengthened, and it’s good to see that development has taken place.",1474454629.0,2.0,1474454689.0,2.0,0.0,0.0
" And that is some news that we’ve received in recent months, that the labor market does have that potential to have people come back in without the unemployment rate coming down.",1474454642.0,3.0,1474454702.0,2.0,-1.0,2.0
" So we’re not seeing strong pressures on utilization suggesting overheating, and my assessment would be, based on this evidence, that the economy has a little more room to run than might have been previously thought.",1474454659.0,2.0,1474454719.0,1.0,-1.0,2.0
 That’s good news.,1474454660.0,2.0,1474454720.0,1.0,-1.0,2.0
"Remember that inflation continues below 2 percent, although we expect it to move up over time.",1474454669.0,2.0,1474454729.0,1.0,-1.0,2.0
 So the Committee agrees that risks to the outlook have become roughly balanced.,1474454676.0,3.0,1474454736.0,1.0,-2.0,1.0
 We expect labor market conditions to continue strengthening.,1474454680.0,2.0,1474454740.0,1.0,-1.0,2.0
 And we are generally agreed that gradual increases in the federal funds rate to remove what is a modest degree of accommodation will be appropriate.,1474454694.0,1.0,1474454754.0,1.0,0.0,0.0
 But we don’t see the economy as overheating now.,1474454699.0,2.0,1474454759.0,1.0,-1.0,2.0
" So, for the time being, we’re going to watch incoming evidence, and you can see from the SEP that most participants do expect that one increase in the federal funds rate will be appropriate this year.",1474454748.0,1.0,1474454808.0,2.0,1.0,3.0
" So it is true that our estimates of the neutral rate are coming down, and that’s what’s largely responsible for that shift.",1474454801.0,2.0,1474454861.0,1.0,-1.0,2.0
" At the same time, we generally agree that the stance of monetary policy is somewhat accommodative.",1474454812.0,2.0,1474454872.0,1.0,-1.0,2.0
