speech,starttime,statestart,overtime,stateover,final,finalover
" And so that’s who we are, that’s what we do, and that’s just the way it’s always going to be for us.",1537958344.0,1.0,1537958404.0,1.0,0.0,0.0
 What we’re going to be doing as we—as we go through time is asking at every meeting whether monetary policy is set to achieve our goals.,1537958461.0,1.0,1537958521.0,1.0,0.0,0.0
" And I think that that’s an assessment of where policy will need to be some years down the road, and I’ll leave it at that.",1537958472.0,1.0,1537958532.0,1.0,0.0,0.0
" The Committee forecasts what they—what they show, in general, is an economy where unemployment remains in the high and middle 3s throughout the entire forecast period and inflation remains very close to 2 percent.",1537958522.0,1.0,1537958582.0,0.0,-1.0,2.0
 It’s in a good place now.,1537958580.0,0.0,1537958640.0,0.0,0.0,0.0
" We can’t take for granted that it will remain the way it is, and, you know, we will be, of course, watching carefully.",1537958585.0,0.0,1537958645.0,0.0,0.0,0.0
" And we think that gradually, you know, raising interest rates is the way that we kind of take both of those risks seriously.",1537958650.0,0.0,1537958710.0,0.0,0.0,0.0
" And so we—since the financial crisis, as you’re aware, we’ve had a major focus on building up our monitoring of financial conditions and financial stability issues.",1537958700.0,0.0,1537958760.0,1.0,1.0,3.0
" If you look at asset prices, it is true that some asset prices are in the upper range of their historical—upper reach of their historical ranges.",1537958766.0,1.0,1537958826.0,0.0,-1.0,2.0
" And then if you look at nonfinancial corporates, you get—there is the story of leverage there.",1537958767.0,1.0,1537958827.0,0.0,-1.0,2.0
"we can deploy, you know, when and as we feel appropriate.",1537958821.0,0.0,1537958881.0,1.0,1.0,3.0
"As I said, I think I’m in the camp of seeing vulnerabilities as relatively moderate.",1537958821.0,0.0,1537958881.0,1.0,1.0,3.0
" So I guess I need to start by saying that we’re not responsible for trade policy, and we don’t comment on particular, you know, trade actions and that sort of thing.",1537958891.0,1.0,1537958951.0,1.0,0.0,0.0
 And they’re still relatively small.,1537958940.0,2.0,1537959000.0,2.0,0.0,0.0
"You know, we worry about a couple of things.",1537958943.0,2.0,1537959003.0,2.0,0.0,0.0
" One is loss of business confidence, which could reduce investment.",1537958944.0,2.0,1537959004.0,2.0,0.0,0.0
" Again, we don’t really see effects that we could measure yet.",1537958947.0,2.0,1537959007.0,1.0,-1.0,2.0
" I think if this, perhaps inadvertently, goes to a place where we have widespread tariffs that remain in place for a long time—a more protectionist world—that’s going to be bad for the United States’ economy and for American workers, and families, and also for other economies.",1537959009.0,1.0,1537959069.0,2.0,1.0,3.0
" But, you know, the growth picture is very much supported by very high readings of household confidence, business confidence, so it’s a—it’s a—it’s a—it’s a pretty particularly bright moment, I think.",1537959064.0,2.0,1537959124.0,2.0,0.0,0.0
" If you look back over the last decade, this is a pretty good moment for the U.S. economy.",1537959065.0,2.0,1537959125.0,2.0,0.0,0.0
