speech,starttime,statestart,overtime,stateover,final,finalover
"So the Committee had, you know, our usual long discussion of global and domestic economic and financial conditions and then spent this morning talking about monetary policy.",1560940687.0,7.0,1560940747.0,6.0,-1.0,2.0
"And I came to the view that I expressed to you, which is that we’re going to be monitoring—monitoring the crosscurrents and the other items that we’ve mentioned, but that we’d like to see more going forward.",1560940699.0,7.0,1560940759.0,6.0,-1.0,2.0
"Particularly, we’d like to see whether these risks continue to weigh on the outlook.",1560940708.0,7.0,1560940768.0,4.0,-3.0,1.0
"So, generally, as I mentioned, many on the Committee do see a strengthened case—eight of those, a strengthened case for cutting rates.",1560940709.0,7.0,1560940769.0,4.0,-3.0,1.0
Eight actually wrote down rate cuts.,1560940713.0,7.0,1560940773.0,2.0,-5.0,1.0
A number of others see that the case has strengthened.,1560940715.0,7.0,1560940775.0,2.0,-5.0,1.0
"But the Committee wanted to see more, as I mentioned.",1560940718.0,7.0,1560940778.0,2.0,-5.0,1.0
And I also mentioned that some of these—some of these developments have been of quite recent vintage.,1560940728.0,7.0,1560940788.0,2.0,-5.0,1.0
"Again, many of these developments happened, you know, part of the way through the last intermeeting period.",1560940761.0,6.0,1560940821.0,3.0,-3.0,1.0
"Only seven weeks ago, we had a great jobs report and came out of the last FOMC meeting feeling that the economy, and our policy, was in a good place.",1560940774.0,2.0,1560940834.0,1.0,-1.0,2.0
"Yeah, so I would say that we’re not looking at any one thing.",1560940831.0,3.0,1560940891.0,1.0,-2.0,1.0
So we’ll be monitoring the implications of all of those developments for the U.S. economic outlook.,1560940889.0,1.0,1560940949.0,0.0,-1.0,2.0
"We expect to learn a good deal more, as I mentioned.",1560940890.0,1.0,1560940950.0,0.0,-1.0,2.0
And we’ll be asking the question whether those risks are going to continue to weigh on the outlook.,1560940897.0,1.0,1560940957.0,0.0,-1.0,2.0
But I think we believe that the right thing here is to watch carefully in the near term and see how these risks unfold and see whether they continue to weigh on the outlook.,1560940992.0,0.0,1560941052.0,1.0,1.0,3.0
"Obviously, we try to avoid going prematurely as well.",1560940993.0,0.0,1560941053.0,0.0,0.0,0.0
"In this case, you know, there’s always some judgment in these things.",1560940998.0,0.0,1560941058.0,0.0,0.0,0.0
"Let me let me say the same thing as I said the last time, before there had been any dissents, and that is that I think the process of careful, thoughtful dissent is a very healthy one, and I’ve always believed that.",1560941057.0,0.0,1560941117.0,1.0,1.0,3.0
And I feel like you make better decisions when you hear a disparity of views.,1560941063.0,0.0,1560941123.0,1.0,1.0,3.0
So that’s our principal focus.,1560941120.0,1.0,1560941180.0,1.0,0.0,0.0
So it could cut either way.,1560941120.0,1.0,1560941180.0,1.0,0.0,0.0
"I see. Okay, right. Okay. So let me let me answer the inflation question first.",1560941217.0,1.0,1560941277.0,1.0,0.0,0.0
So we’re saying that we know—I noted in the statement and also in my—what I said here.,1560941225.0,1.0,1560941285.0,2.0,1.0,3.0
"We saw that market-based measures of inflation expectations, breakevens, dropped.",1560941227.0,1.0,1560941287.0,2.0,1.0,3.0
We noted that also in the statement.,1560941228.0,1.0,1560941288.0,2.0,1.0,3.0
And I noted it as a reason for us to—one of several reasons why it feels to us that the case for more accommodation has strengthened.,1560941239.0,1.0,1560941299.0,2.0,1.0,3.0
So we find that notable.,1560941245.0,1.0,1560941305.0,2.0,1.0,3.0
"Not only that, the actual forecast for inflation for this year, among FOMC participants, dropped a couple of tenths.",1560941253.0,0.0,1560941313.0,2.0,2.0,4.0
So that means a more prolonged shortfall of inflation.,1560941257.0,0.0,1560941317.0,2.0,2.0,4.0
"Let me say, on inflation, it’s something I’ve been concerned about for quite a long time.",1560941263.0,1.0,1560941323.0,1.0,0.0,0.0
It’s one of the principal reasons why I called for the review.,1560941264.0,1.0,1560941324.0,1.0,0.0,0.0
