speech,starttime,statestart,overtime,stateover,final,finalover
"Well, let me start—let me start with the question of the Fed’s credibility, and you used the word “promises” in connection with that.",1458125156.0,0.0,1458125216.0,0.0,0.0,0.0
"And, as I tried to emphasize in my opening statement, the paths that the participants project for the federal funds rate and how it will evolve are not a preset plan or commitment or promise of the Committee.",1458125178.0,0.0,1458125238.0,0.0,0.0,0.0
" Indeed, they are not even—the median should not be interpreted as a Committee-endorsed forecast, and there’s a lot of uncertainty around each participant’s projection.",1458125194.0,0.0,1458125254.0,0.0,0.0,0.0
And they will evolve—those assessments of appropriate policy are completely contingent on each participant’s forecast of the economy and how economic events will unfold.,1458125214.0,0.0,1458125274.0,0.0,0.0,0.0
"And they are, of course, uncertain, and you should fully expect that forecasts for the appropriate path of policy on the part of all participants will evolve over time as shocks, positive or negative, hit the economy that alter those forecasts.",1458125236.0,0.0,1458125296.0,1.0,1.0,3.0
"So you have seen a shift this time in most participants’ assessments of the appropriate path for policy, and, as I tried to indicate, I think that largely reflects a somewhat slower projected path for global growth—for growth in the global economy outside the United States—and for some tightening in credit conditions in the form of an increase in spreads.",1458125268.0,0.0,1458125328.0,2.0,2.0,4.0
And those changes in financial conditions and in the path of the global economy have induced changes in the assessment of individual participants in what path is appropriate to achieve our objectives.,1458125287.0,1.0,1458125347.0,2.0,1.0,3.0
So that’s what you see. That’s what you see.,1458125291.0,1.0,1458125351.0,3.0,2.0,4.0
"Now, I guess you asked me also what would we need to see to continue raising rates, and I think it’s worth pointing out here that the Committee—most participants do continue to envision that if economic developments unfold as they expect, that further increases in the federal funds rate will prove appropriate over time.",1458125319.0,1.0,1458125379.0,2.0,1.0,3.0
"Most participants anticipate that, and that the pace will be gradual.",1458125326.0,2.0,1458125386.0,2.0,0.0,0.0
"As I emphasized, most empirical work attempting to assess what the equilibrium level of the fed funds rate is, a level that would be neither expansionary nor contractionary is—those assessments are quite low at this time.",1458125345.0,2.0,1458125405.0,2.0,0.0,0.0
"There may be some—you know, I want to warn that there may be some transitory factors that are influencing that.",1458125389.0,2.0,1458125449.0,3.0,1.0,3.0
"So I want to make clear that our inflation objective is 2 percent, and we are projecting a move back to 2 percent.",1458125452.0,3.0,1458125512.0,4.0,1.0,3.0
"And we are not trying to engineer an overshoot of inflation, not to compensate for past undershoots, so 2 percent is our objective.",1458125466.0,2.0,1458125526.0,5.0,3.0,4.0
"But it is a symmetric objective, and we certainly don’t seek to overshoot our objective.",1458125473.0,4.0,1458125533.0,5.0,1.0,3.0
"But some undershoots and overshoots are part of how the economy operates, and our tolerance for those is symmetric with respect to under- and overshoots.",1458125489.0,4.0,1458125549.0,5.0,1.0,3.0
We did take note in the statement of the fact that inflation has picked up in recent months.,1458125497.0,3.0,1458125557.0,3.0,0.0,0.0
"But we note—the Committee notes, as it did in December, that we continue to monitor development trends and developments closely, and that would include both the fact that recent inflation readings have been on the high side, and, as I mentioned, on the other side, that readings on measures of inflation compensation and some survey measures have been on the low side.",1458125560.0,3.0,1458125620.0,5.0,2.0,4.0
So there has been a slight downgrading of the assessment of economic growth for this year.,1458125609.0,5.0,1458125669.0,6.0,1.0,3.0
"But, nevertheless, growth is expected to run in—somewhat in excess of potential, so that the labor market is expected to continue to tighten, and by the end of the year, even edge below levels that—of the unemployment rate—that are estimated to be longer in the normal run, and inflation is expected to gradually move back to 2 percent over time.",1458125645.0,5.0,1458125705.0,6.0,1.0,3.0
"We still have, weighing on inflation, the influence of earlier declines in energy prices and a prolonged effect from the appreciation of the dollar, but we do expect those transitory influences to fade. ",1458125664.0,6.0,1458125724.0,6.0,0.0,0.0
"As I indicated in December—the Committee indicated in December, we want inflation to go back to 2 percent.",1458125699.0,6.0,1458125759.0,7.0,1.0,3.0
"But we also want to be careful not to see some significant overshoots, so that we would get behind the curve and potentially be faced with a need to tighten in a very rapid fashion later in a way that could undermine the sustainability of the employment gains we have had.",1458125720.0,6.0,1458125780.0,7.0,1.0,3.0
"So there has been, by many forecasters, a slight downgrading of forecasts of global growth in—over the coming several years.",1458125765.0,7.0,1458125825.0,7.0,0.0,0.0
"The IMF has slightly downgraded their forecasts, and other international agencies have as well.",1458125773.0,7.0,1458125833.0,7.0,0.0,0.0
Chinese growth hasn’t proven a great surprise.,1458125779.0,7.0,1458125839.0,6.0,-1.0,2.0
" We’ve anticipated that it would slow over time, and it seems to be slowing as well.",1458125786.0,7.0,1458125846.0,7.0,0.0,0.0
"Japanese growth in the fourth quarter was negative, and that was something of a surprise.",1458125797.0,7.0,1458125857.0,7.0,0.0,0.0
