speech,starttime,statestart,overtime,stateover,final,finalover
" For this year, there was a slight upward revision to inflation, and some of the participants, but not all of the participants, did incorporate some assumption of a change in fiscal policy into their projections.",1481711998.0,7.0,1481712058.0,7.0,0.0,0.0
 It’s the ultimate determination of the evolution of living standards.,1481712062.0,7.0,1481712122.0,7.0,0.0,0.0
" Policies that would improve productivity growth would include policy changes that enhance education, training, workforce development; policies that spur either private or public investment to enhance the quality of capital in the United States that workers have to work with; and policies that spur innovation or competition or the formation of new firms.",1481712097.0,7.0,1481712157.0,7.0,0.0,0.0
 It really depends on the specifics.,1481712106.0,7.0,1481712166.0,7.0,0.0,0.0
" I don’t think there’s anything that I could say in general about what tax policy would do, but that—and I really can’t tell you what the Fed’s response would be to any policy changes that are put into effect.",1481712126.0,7.0,1481712186.0,7.0,0.0,0.0
" I—you know, it’s something I really just can’t generalize about because, while it would be desirable to have tax policies that do increase the productive capacity of the economy, an increase in the pace of productivity change is one of the factors that does affect the economy’s neutral rate.",1481712171.0,7.0,1481712231.0,7.0,0.0,0.0
 A boost to productivity could spur investment.,1481712174.0,7.0,1481712234.0,7.0,0.0,0.0
So let me say that our decision to raise rates is—should certainly be understood as a reflection of the confidence we have in the progress the economy has made and our judgment that that progress will continue.,1481712237.0,7.0,1481712297.0,7.0,0.0,0.0
 And the economy has proven to be remarkably resilient.,1481712242.0,7.0,1481712302.0,7.0,0.0,0.0
" It could boost very slightly some short-term interest rates that could have an effect on borrowing costs that are linked to them, but, overall, I think that households and firms will see very modest changes from this decision.",1481712280.0,7.0,1481712340.0,7.0,0.0,0.0
 The degree of accommodation I would characterize as moderate.,1481712351.0,7.0,1481712411.0,7.0,0.0,0.0
" As I’ve emphasized and said in the statement, we currently judge the neutral level of the federal funds rate to be pretty low.",1481712361.0,7.0,1481712421.0,7.0,0.0,0.0
 So there is some accommodation.,1481712364.0,7.0,1481712424.0,7.0,0.0,0.0
 Remember that inflation is still below our objective.,1481712370.0,7.0,1481712430.0,7.0,0.0,0.0
 The Committee projects—at least the median projection shows a very modest undershoot of estimates of the longer-run normal rate of unemployment.,1481712383.0,7.0,1481712443.0,7.0,0.0,0.0
" The median unemployment rate here gets down to 4½ percent, which is just a few tenths below the estimated longer-run normal level of the unemployment rate.",1481712395.0,7.0,1481712455.0,7.0,0.0,0.0
 And we think that that’s appropriate because we want inflation to rise to our 2 percent objective in a timely fashion.,1481712405.0,7.0,1481712465.0,7.0,0.0,0.0
 So I do not judge that we are behind the curve.,1481712440.0,7.0,1481712500.0,7.0,0.0,0.0
" But, of course, the outlook is uncertain.",1481712449.0,7.0,1481712509.0,7.0,0.0,0.0
 We recognize that there are many sources of uncertainty affecting the outlook.,1481712455.0,7.0,1481712515.0,7.0,0.0,0.0
"Well, I believe my predecessor and I called for fiscal stimulus when the unemployment rate was substantially higher than it is now.",1481712509.0,7.0,1481712569.0,7.0,0.0,0.0
" So, with a 4.6 percent unemployment and a solid labor market, there may be some additional slack in labor markets, but I would judge that the degree of slack has diminished.",1481712525.0,7.0,1481712585.0,7.0,0.0,0.0
 I never said that I favor running a high-pressure economy.,1481712693.0,7.0,1481712753.0,7.0,0.0,0.0
" And, you know, as you can see in the SEP projections of the participants—and this has long been true not just in this forecast, but in earlier ones as well—you see a modest undershooting.",1481712711.0,7.0,1481712771.0,7.0,0.0,0.0
" The under—unemployment rate is projected to modestly undershoot, for several years, levels that are deemed to be normal in the longer run.",1481712724.0,7.0,1481712784.0,7.0,0.0,0.0
 That’s an appropriate policy purely on the grounds that inflation is running below our objective.,1481712733.0,7.0,1481712793.0,7.0,0.0,0.0
"  And while we don’t want to overshoot our 2 percent objective, we also don’t want a persistent undershoot of our 2 percent objective, and that does involve a labor market that may succeed in attracting more people off the sidelines into the labor market.",1481712754.0,7.0,1481712814.0,7.0,0.0,0.0
 It’s something we will see as we examine experience over the next couple of years.,1481712761.0,7.0,1481712821.0,7.0,0.0,0.0
